[15:31:45.227][info][en2.ContainerRunMojo] Resolved container artifact org.codehaus.cargo:cargo-core-container-wildfly:jar:1.4.11 for container wildfly8x
[15:31:45.507][info][ller.ZipURLInstaller] Installing container in [D:\Didorenko\Project\test-platform\target\cargo\installs\wildfly-8.2.0.Final]
[15:31:55.925][info][talledLocalContainer] Parsed JBoss version = [8.x]
[15:31:55.925][info][talledLocalContainer] WildFly 8.x starting...
[15:31:55.937][info][neLocalConfiguration] Configuring JBoss using the [standalone-engine] server configuration
[15:31:56.248][warn][neLocalConfiguration] JBoss 7 requires datasource JNDI names to start with java:/, hence changing the given JNDI name to: java:/jdbc/Quiz
[15:31:56.964][info][stalledLocalDeployer] Deploying [D:\Didorenko\Project\test-platform\target\cargo\configurations\wildfly8x/tmp/cargo/test-platform.war] to [D:\Didorenko\Project\test-platform\target\cargo\configurations\wildfly8x/deployments]...
[15:32:22.913][info][talledLocalContainer] 15:32:22,913 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) JBAS017534: Registered web context: /test-platform
[15:32:22.996][info][talledLocalContainer] 15:32:22,995 INFO  [org.jboss.as.server] (ServerService Thread Pool -- 28) JBAS018559: Deployed "test-platform.war" (runtime-name : "test-platform.war")
[15:32:22.996][info][talledLocalContainer] 15:32:22,996 INFO  [org.jboss.as.server] (ServerService Thread Pool -- 28) JBAS018559: Deployed "cargocpc.war" (runtime-name : "cargocpc.war")
[15:32:23.162][info][talledLocalContainer] 15:32:23,161 INFO  [org.jboss.as] (Controller Boot Thread) JBAS015961: Http management interface listening on http://127.0.0.1:9990/management
[15:32:23.163][info][talledLocalContainer] 15:32:23,162 INFO  [org.jboss.as] (Controller Boot Thread) JBAS015951: Admin console listening on http://127.0.0.1:9990
[15:32:23.165][info][talledLocalContainer] 15:32:23,163 INFO  [org.jboss.as] (Controller Boot Thread) JBAS015874: WildFly 8.2.0.Final "Tweek" started in 20463ms - Started 356 of 416 services (102 services are lazy, passive or on-demand)
[15:32:57.233][info][talledLocalContainer] 15:32:57,233 INFO  [stdout] (default task-16) Starting transaction
[15:32:57.800][info][talledLocalContainer] 15:32:57,799 INFO  [stdout] (default task-16) Committing transaction
[15:32:57.802][info][talledLocalContainer] 15:32:57,801 INFO  [stdout] (default task-16) Starting transaction
[15:32:58.046][info][talledLocalContainer] 15:32:58,045 INFO  [stdout] (default task-16) Committing transaction
